,movie,title,text,score,user,date,helpfulness_votes,positive_helpfulness_votes
11,Taxi Driver,A story about a lonely man,"Taxi Driver is one of the best films ever made. This is one of those films that you do not get tired of seeing and every time you watch it you realize a little detail that you have not seen before. Excellent actors, a good director, an impressive soundtrack and a real story are the main appeals of this film.This film is about loneliness, about the isolation of a man in a society full of scum. His objective is to finish with the scum of the streets. The story uses a taxi driver as a metaphor of loneliness and it has some kind of irony because we can see that a city which is full of people can be the most lonely place for a man. The long nights in the city, the night environment full of whores, junkies, pimps and thieves are the main elements of the world in which Travis Bickle lives. Travis is an misunderstood guy who is seeking desperately for some kind of company because as he says 'loneliness has followed me all my life, everywhere' but at the same time he seems not to do anything to avoid his situation and it is seen when he goes with Betsy (Cybill Shepherd) to a porn cinema. At the end of the film the character makes real his most violent fantasies, with a look of certain soldiers from Vietnam, and he behaves like this because of his loneliness, his alienation and because he does not find any sense to his life. The violent behaviour becomes Travis into a hero, although he had killed many people and he could do it again. Although he acts with an extreme violence the spectator understand him and the reasons why he acts that way. The soundtrack of the film, which is composed by Bernard Herrmann, inspires some kind of loneliness and sometimes it is absolutely terrifying like in a horror film. This music and the slow camera showing the streets help to introduce the spectator into the world of Travis, to know what he is thinking about.In general I cannot say any negative aspect of this film because I have not found anything bad. Although it is a film of the 70s it is not an old-fashioned movie because the essence of the story, the reality that is shown on it, can be perfectly referred to the current society. This film has the privilege of having made famous the sentence You talking' to me? You talking' to me?' which will remain in the history of cinema. This is an authentic masterpiece.",,david_vigues,2004/05/16,453,358
12,Spider-Man 2,"With a brain in its head and style on its side, this is one hell of a ride","Spider-Man 2 is an adrenaline-packed cinematic delight. A purely functioning superhero film, serving as a sequel to a film that was surprisingly capable after spending a fourth of a century in development hell. Not only is this one of the best sequels I have yet to see, but one of the strongest superhero epics of the decade.What little Raimi and the writers neglected in the original Spider-Man film is injected into this sequel with full-force intelligence, depth, and attitude. Certain action scenes are so artfully designed and professionally crafted, it appears they could serve as the long-awaited climax in any film of the genre. Scenes themselves play like epics within an epic and some, like the infamous train sequence, are so breakneck and excessive they could use an intermission.But Spider-Man 2 doesn't have time for preposterous breaks or intermissions. They would disrupt the flow of poetry the film so effortlessly excels at, and for that matter, it is too busy furthering Peter Parker's entertaining story and fueling its action scenes with the coherency and structure they need. The film takes place two years after the events of the first film. We see Parker is still doing vigilante justice around the city of New York, yet we see he is breathlessly struggling to juggle his alter-ego's duties, his schoolwork, his freelance photography job, and his own free time. Because of this, he has long been distant from the love of his life, Mary Jane Watson (Kirsten Dunst) and his best friend Harry Osborn (James Franco).Now that Harry is the leader of Oscorp, he has been funding research for the nuclear scientist, Dr. Otto Octavius (Alfred Molina). Octavius's goal is to perfect fusion power, and he creates and operates a harness equipped with several long, windy robotic arms that seem to take on a mind of their own. Unfortunately, due to a series of disasters, the arms are now sewn to his spinal-cord and have corrupted his mind and are now influencing his decisions and actions. Dr. Octavius, who will later be known as ""Doc Ock,"" serves as the main villain in the story, as one can expect.Parker not only must try and defeat Doc Ock, but must figure out how to get his spidey-legs working again after numerous web malfunctions, and has just learned that Mary Jane is engaged to an acclaimed astronaut. And don't even get him started about how he must continue to comfort his Aunt May, who is still grieving over the loss of her husband and Peter's uncle, as well as telling her the real truth about his death.Speaking as a sizable fan of the original Spider-Man, the one part I mentioned in my review was that Raimi showed Parker's newly-discovered powers to be all fun and games with no consequences or brewing agony. It was a chockablock of excitement for him, and never once did the story showcase how these powers would've inevitably burdened Parker with a barrage of responsibility and tribulations. It almost seems Raimi and the writers left that part out on purpose, so they could center the sequel primarily around the agony of being a superhero. If that was their plan, their have succeeded, because not only is this one of the most riveting and entertaining superhero films, it is also one of the deepest.Tobey Maguire, returning as Parker, bleeds charm and confidence in the role of a character that just has the charm part down. With the new Amazing Spider-Man film just released about two weeks ago, boasting the relatively new star Andrew Garfield in the central role, I can't help but remind readers who I believe is the real Peter Parker. Maguire's Parker has mastered the role of a shy nerd who lacks any and all confidence. Garfield's character was still in that nerd-position, but he was far more secure in his witticisms and his confidence. To me, Peter Parker is and always will be a nerd. Regardless of how tight and brazen his costume is.When it came down to the villain of the original Spider-Man, unlike many people, I was satisfied that it was the Green Goblin. If anything, Willem Dafoe portrayed the character in a lot more of an eerie light than I assume many others actors would've. Doc Ock is a more impressive villain in every sense. Quite possibly one of the most enticing to watch on screen. The Goblin, no matter which way you examine him, is a rather stock villain. Ock's robotic arms make for a never-ending line of possibilities and events, and the action sequences involving him are stylish and crafty, perfectly complimenting the film itself as a whole.Spider-Man 2 is a shivering example at what makes a great superhero film. It shows us what most of us want, which is explicitly entertaining action scenes, and the something extra I hope most of us crave, which is the humanity and exploration of the character. To show Parker's powers as a burden to him was a brilliant move on screenwriter Alvin Sargent's part (who would later go on to write the third part of this franchise and be one of the three to construct the new one) and Sam Raimi's. With a brain in its head and style on its side, this is one hell of a ride.Starring: Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina, Rosemary Harris, and Donna Murphy. Directed by: Sam Raimi.",9.0,StevePulaski,2012/07/16,19,13
13,Goodfellas,Wanna Be a Wise guy?,"One of the best Mafia movies I've ever seen. This and The Godfather are movies I must recommend if you like gangsters, wise guys, etc. This movie is actually based on a true story. The real Henry Hill, who is the main star of this movie, actually said it was at least 90% true. He than said it was probably 98% accurate. This movie expresses a lot of the gangster ways and how they really did things.Summary: This is pretty much a biography on Henry Hill, who as a kid always wanted to be a gangster, and he actually worked for them. It shows how a young kid grew up helping the mafia and becoming a mobster himself. This is a true story and really shows what being a wise guy is all about.Overall: Definitely a 10/10 movie. Really makes me want to be a wiseguy.",10.0,Guitarboi615,2005/04/12,348,184
14,Spider-Man 2,Spider-man some more... please!,"After being very impressed with the first one after some skepticism, Spider-man 2 is tackling a sequel with great anticipation and even greater expectations. The way Sam Raimi was able to produce the story of Spider-man with such style, realism and above all, faithfulness to the Marvel original comic is tremendous to say the least. The reason why it took this long to make a live action movie for Spider-man is due to the difficulties in making the action sequences look real and being able to connect all the side stories and characters in a single effort. Although it doesn't look flawless, it is still able to fool the eyes. The characters are also faithfully represented.Spider-man 2 is a great sequel for many reasons. First it ties right into the original without skipping a beat. Set a few years after the original with all the same actors and characters. Though it differentiates itself enough from the original so you're not watching a clone of the first. It dives deeper into the psyche and the experiences of its main character in order for you to gain a greater understanding of his situation. At the same time it still provide great visuals, pulse pounding action sequences, humorous side sequences and breath taking special effects and camera work. This movies stands head and shoulders above all super hero comic movies. It delivers what a movie goer seeks and leaves them gasping for more. Immediately after viewing, I was pondering what they will do with the next installment and i am sure that the majority of the viewers were thinking the same thing. The movie is strung together in a great sequence that never ever bores the viewer. The new villain gets a good intro which explains his situation in a neat and tidy manor. Doctor Otto Octavius is a perfect villain which is played and visually represented to perfection. The movements of Doc Ock are fantastic. It's just as i would have pictured it in my mind, if i could... while watching the cartoons or reading the comics. Only Raimi presents it in a way that connects the loose visuals in our minds with the visual reality (of course with the aid of computers). Some may complain about there being too much story, too much Peter Parker and not enough action. One must realize that if it were the other way around, that you'd be complaining that there wasn't enough storyline. People are so hard to please. Even with this seemingly flawless movie people still find something to complain about. The only thing i didn't understand was the presence of Ursala, the daughter of Peter's landlord. What was her role in all of this? Anyways, i just bought the DVD for this and realized that i should voice my opinion especially seeing how low of a score this movie got in contrast with what i would score it.Action:10 Directing:10 Acting:10 Re-watchability(if thats even a word):10Overall rating: 10 out of 10... bravo!Bring on part 3 whoever the villain might be. Venom, Lizard, Gobblin, Scorpion, whatever. Heck bring on the sinister 6!",10.0,WilsonLau,2004/12/10,30,23
15,Spider-Man 2,Truly amazing! It's better then the first!,"Yes! Believe it or not, a SEQUEL topped the original! This movie didn't suffer the what I like to call ""the sequel curse"" as so many other movies do.Spiderman is back with more web slinging fun as he takes on Doc Oct who's once again destroying New York.Once again the cast is superb. Acting is wonderful, the plot is fantastic, and the ending is an actual ending!! As the time passes, the movie only gets better and better.I had my doubts about a second Spiderman, but was completely wrong.I don't want to give anything away, but you must see this movie!",8.0,InvisableMirages,2007/11/07,10,7
16,Goodfellas,A true classic,"This is the gangster film at its finest. Scorsese is on top form as are Pesci and De Niro. Liotta has never bettered the performance he gives here. The film starts as it means to go on - violent, full of profanity, fast paced and very stylish. The story follows Liotta's character from boy to man as he climbs his way up through the ranks of organised crime. We see all the highs and lows of his life and meet a host of very believable and very undesirable characters along the way. It's a film full of memorable scenes whilst remaining much more than the sum of its individual parts at the same time. This is what all movies should be like. It draws you in and won't let you out of its grasp at any point. When it finishes you feel exhausted and exhilarated at the same time. If ever the word 'masterpiece' was meant to be used, it was for this film.",9.0,thomashamps,2000/09/13,274,177
17,Spider-Man 2,"Definitively, one of the best in its genre.","The sequel to the Spider-Man movie is everything a fan of the first could ask for. Imagine the surprise to see such care, effort and appreciation put into every character within the movie, with excellent acting, direction, sound, computer animation... all of it seamlessly integrated into a film that is very aware of the history, the fandom, and the expectations associated with the Spider-Man franchise. Spider-Man 2 is the perfect film for the comic book genre, and the perfect sequel for Spider-Man fans. Aside from the flawless animation and choreography staged between the Spider-Man/Doctor Octopus fights, we get to the real core of Peter Parker, when he makes a real attempt back at normal life, after events allow him so. Seeing Peter Parker deal with day-to-day life honestly, in an environment unintentionally nudging against him in all areas, makes this film a real gem, and Tobey Maguire should give himself a pat on the back for what a good film he's put together.While Peter Parker deals with him losing a job, failing school, missing rent and straining to meet Mary Jane at the cost of being Spider-Man, an idol of his, Dr. Otto Octavius, whom his very project is on, receives sponsorship from his friend, Harry, to work his experiment on fusion. After the experiment goes horribly wrong, Octavius loses control of his senses and plots to finish his job no matter the cost.One of the best scenes has to be when Peter comes clean to Aunt May about what really happened to Uncle Ben. Here, the script and director could have done anything to make the scene anything else but what it was but they didn't. Those types of scenes, included along with relating to Mary Jane and saving whatever he kept holding onto with her, worked because of the exceptional acting and direction involved in knowing that they were creating a great film. Spider-Man 2 is one of the best sequels of all time, and if you loved the first movie, the second will not disappoint. Everyone involved in this film, should give themselves a hand because Spider-Man 2 lived up to its namesake as a film that you could enjoy over and over and never tire of. Every scene is never wasted, and I give the film two thumbs way up for ingenuity and imagination, for bringing the web-crawling hero a greater movie than one could think possible.",9.0,The_Orenda,2007/10/31,11,8
18,The Green Mile,The greatest mile you'll ever walk,"This will be the film of the year. The combination of cast, director, writer, producer makes this one of the best films that you will ever have an opportunity to see. Filming this movie was such a blast! All departments worked great together and everything seemed to just fall into place. A lot of hard work went into The Green Mile and it shows.",10.0,cdmcdade,1999/12/07,2,2
19,Taxi Driver,"""Here is a man who would not take it anymore"".","In a calculated exercise, I watched ""Raging Bull"" and ""Taxi Driver"" back to back today. Two classics, and two films generally recognized by critics and fans to be among the best of all time. Personally, I think Bull was the better showcase for both De Niro and director Scorsese as the four years between films allowed both to improve on their respective crafts. In terms of favorites, that might be a moot point, as both are darkly disturbing and violent films, with main characters that aren't particularly honorable, much less likable.Indeed, both characters, the fictional Travis Bickle and the real life Jake La Motta were haunted by personal demons that manifested as forms of mental illness. La Motta's brand of violence was legal inside the ring, what he carried into his personal life resulted in a lifetime of unintended consequences. The outcomes of fictional characters can be manipulated to suit the priority of the writer or director, so in the case of ""Taxi Driver"", the protagonist winds up as sort of a hero, at least to the parents of twelve year old hooker Iris. I'm not sure if the point of the film had anything to do with showing how one's life can turn on a second's notice or not. However when Bickle's assassination attempt on Palantine (Leonard Harris) was foiled, the succeeding events could have led to his own demise. Instead he's reborn, sort of. One could sequel the story after Betsy (Cybil Shepherd) gets a cab ride from Travis at the end of the picture, but it's probably better left to the viewer's imagination.A tiny detail caught my eye in both pictures today which I'm sure I would never have considered had I seen them days or weeks apart. In the carnage of the shootout scene, when the cops make their presence in the doorway of the rented room, Bickle puts a bloody finger to his head simulating a gunshot, and two drops of blood drip from his finger. Scorsese used the same device again in ""Raging Bull"", when Jake La Motta is badly bloodied in his final fight against Sugar Ray Robinson. As the boxer sags against the ring ropes, the camera focuses on the top rope a few inches away from La Motta's outstretched arm. Two drops of blood fall from the rope to the canvas to further intensify La Motta's defeat. At the time, I couldn't say why I found that to be so fascinating, but now I do.",9.0,classicsoncall,2011/04/16,19,12
20,Goodfellas,A Masterpiece That Gets Better With Each New Viewing,"Goodfellas (1990) **** (out of 4) Martin Scorsese's masterpiece about Henry Hill (Ray Liotta), a man who grew up hoping to be in the mob and he got his but crime does not pay as the old saying goes. GOODFELLAS has been called one of the greatest mob movies ever made and it's been called the best film of the 90s as well as one of the greatest films ever made. It certainly goes on my list as one of the greatest movies ever made and each time I view the thing I can't help but be amazed at the brilliance on screen. It's really does seem as if this isn't a movie because the thing is so perfect in every way that it's almost hard to believe that it's real. Even though everything in this movie is great there's no doubt that every ounce of credit belongs to Scorsese.There have been wonderful crime pictures going all the way back to the silent days so the director was behind the eight ball but instead of just delivering a great movie he instead goes all out and really creates a film unlike anything we've ever seen before. The way he films the violence, shows the good times and the bad times. Everything is so flawless that you really do forget that you're watching a movie because it comes off like you're a fly on the wall witnessing all of this stuff first hand. There's the now legendary camera shot going through the restaurant, there's the terrific music score and of course the violence that really shakes you. One could argue that we've seen this type of story countless times but it's so fresh here that you can't help but feel as if you're seeing it for the first time.There are so many brilliant moments here but special credit has to go to the final twenty-minutes or so when Hill finally starts to crack due to all the drugs. The fast-paced nature of this sequence is among the most perfect filming you're ever going to see because by the time it's over you're going to think that you too are high on drugs. Another amazing thing that Scorsese does is get you into the events in these people's lives. The good times early on are so much fun that you can see why someone would select to be in the lifestyle. The camera doesn't shy away from capturing these moments including the high times in the nightclubs with the women and the money. However, Scorsese also nails the downside when everything starts to crumble and the violence is so shocking and brutal that you then realize that this lifestyle only ends one way and you're thankful that you're not involved in it.Another major plus are of course the performances. Liotta is perfect in the role of Hill and especially when you consider he must carry the film over the more famous actors. I thought Liotta perfectly nailed not only the young, energetic Hill but he really pulled off the drug-crazed maniac. DeNiro, as usual, is also terrific in his part as he brings so much fire and energy to the character and can cause you to fear him with just a look. Joe Pesci deserves his Best Supporting Actor Oscar as there's no doubt that he delivers one of the finest villain roles in the history of film. Lorraine Bracco and Paul Sorvino are also impressive as are the rest of the supporting players even down to the bit parts.GOODFELLAS is without question one of the greatest films ever made and like all classics it's a movie that keeps getting better each passing year. Scorsese has made many great films in his career and this here is certainly among his best.",,Michael_Elliott,2008/03/07,22,13
